"date","region","cases","cumulative_cases"
2020-03-11,"Central East",0,0
2020-03-11,"Central West",0,0
2020-03-11,"Far North Central",0,0
2020-03-11,"Far North East",0,0
2020-03-11,"Far North West",0,0
2020-03-11,"North Central",0,0
2020-03-11,"North East",0,0
2020-03-11,"North West",0,0
2020-03-11,"Not Assigned",0,0
2020-03-11,"Regina",0,0
2020-03-11,"Saskatoon",1,1
2020-03-11,"South Central",0,0
2020-03-11,"South East",0,0
2020-03-11,"South West",0,0
2020-03-12,"Central East",0,0
2020-03-12,"Central West",0,0
2020-03-12,"Far North Central",0,0
2020-03-12,"Far North East",1,1
2020-03-12,"Far North West",0,0
2020-03-12,"North Central",0,0
2020-03-12,"North East",0,0
2020-03-12,"North West",0,0
2020-03-12,"Not Assigned",0,0
2020-03-12,"Regina",0,0
2020-03-12,"Saskatoon",1,2
2020-03-12,"South Central",0,0
2020-03-12,"South East",0,0
2020-03-12,"South West",0,0
2020-03-13,"Central East",0,0
2020-03-13,"Central West",0,0
2020-03-13,"Far North Central",0,0
2020-03-13,"Far North East",0,1
2020-03-13,"Far North West",0,0
2020-03-13,"North Central",0,0
2020-03-13,"North East",0,0
2020-03-13,"North West",0,0
2020-03-13,"Not Assigned",0,0
2020-03-13,"Regina",0,0
2020-03-13,"Saskatoon",0,2
2020-03-13,"South Central",0,0
2020-03-13,"South East",0,0
2020-03-13,"South West",0,0
2020-03-14,"Central East",0,0
2020-03-14,"Central West",0,0
2020-03-14,"Far North Central",0,0
2020-03-14,"Far North East",0,1
2020-03-14,"Far North West",0,0
2020-03-14,"North Central",0,0
2020-03-14,"North East",0,0
2020-03-14,"North West",0,0
2020-03-14,"Not Assigned",0,0
2020-03-14,"Regina",2,2
2020-03-14,"Saskatoon",0,2
2020-03-14,"South Central",0,0
2020-03-14,"South East",1,1
2020-03-14,"South West",0,0
2020-03-15,"Central East",0,0
2020-03-15,"Central West",0,0
2020-03-15,"Far North Central",0,0
2020-03-15,"Far North East",0,1
2020-03-15,"Far North West",0,0
2020-03-15,"North Central",0,0
2020-03-15,"North East",0,0
2020-03-15,"North West",0,0
2020-03-15,"Not Assigned",0,0
2020-03-15,"Regina",2,4
2020-03-15,"Saskatoon",0,2
2020-03-15,"South Central",0,0
2020-03-15,"South East",0,1
2020-03-15,"South West",0,0
2020-03-16,"Central East",0,0
2020-03-16,"Central West",0,0
2020-03-16,"Far North Central",0,0
2020-03-16,"Far North East",0,1
2020-03-16,"Far North West",0,0
2020-03-16,"North Central",0,0
2020-03-16,"North East",0,0
2020-03-16,"North West",0,0
2020-03-16,"Not Assigned",0,0
2020-03-16,"Regina",1,5
2020-03-16,"Saskatoon",0,2
2020-03-16,"South Central",0,0
2020-03-16,"South East",0,1
2020-03-16,"South West",0,0
2020-03-17,"Central East",0,0
2020-03-17,"Central West",1,1
2020-03-17,"Far North Central",0,0
2020-03-17,"Far North East",1,2
2020-03-17,"Far North West",0,0
2020-03-17,"North Central",0,0
2020-03-17,"North East",0,0
2020-03-17,"North West",0,0
2020-03-17,"Not Assigned",0,0
2020-03-17,"Regina",1,6
2020-03-17,"Saskatoon",5,7
2020-03-17,"South Central",2,2
2020-03-17,"South East",0,1
2020-03-17,"South West",0,0
2020-03-18,"Central East",0,0
2020-03-18,"Central West",0,1
2020-03-18,"Far North Central",0,0
2020-03-18,"Far North East",0,2
2020-03-18,"Far North West",0,0
2020-03-18,"North Central",0,0
2020-03-18,"North East",0,0
2020-03-18,"North West",0,0
2020-03-18,"Not Assigned",0,0
2020-03-18,"Regina",0,6
2020-03-18,"Saskatoon",1,8
2020-03-18,"South Central",0,2
2020-03-18,"South East",0,1
2020-03-18,"South West",0,0
2020-03-19,"Central East",0,0
2020-03-19,"Central West",0,1
2020-03-19,"Far North Central",0,0
2020-03-19,"Far North East",0,2
2020-03-19,"Far North West",0,0
2020-03-19,"North Central",2,2
2020-03-19,"North East",0,0
2020-03-19,"North West",0,0
2020-03-19,"Not Assigned",0,0
2020-03-19,"Regina",5,11
2020-03-19,"Saskatoon",0,8
2020-03-19,"South Central",0,2
2020-03-19,"South East",0,1
2020-03-19,"South West",0,0
2020-03-20,"Central East",0,0
2020-03-20,"Central West",0,1
2020-03-20,"Far North Central",0,0
2020-03-20,"Far North East",0,2
2020-03-20,"Far North West",0,0
2020-03-20,"North Central",2,4
2020-03-20,"North East",0,0
2020-03-20,"North West",0,0
2020-03-20,"Not Assigned",0,0
2020-03-20,"Regina",5,16
2020-03-20,"Saskatoon",10,18
2020-03-20,"South Central",0,2
2020-03-20,"South East",0,1
2020-03-20,"South West",0,0
2020-03-21,"Central East",2,2
2020-03-21,"Central West",0,1
2020-03-21,"Far North Central",0,0
2020-03-21,"Far North East",1,3
2020-03-21,"Far North West",0,0
2020-03-21,"North Central",0,4
2020-03-21,"North East",0,0
2020-03-21,"North West",0,0
2020-03-21,"Not Assigned",0,0
2020-03-21,"Regina",1,17
2020-03-21,"Saskatoon",3,21
2020-03-21,"South Central",1,3
2020-03-21,"South East",0,1
2020-03-21,"South West",0,0
2020-03-22,"Central East",3,5
2020-03-22,"Central West",1,2
2020-03-22,"Far North Central",0,0
2020-03-22,"Far North East",0,3
2020-03-22,"Far North West",0,0
2020-03-22,"North Central",3,7
2020-03-22,"North East",0,0
2020-03-22,"North West",1,1
2020-03-22,"Not Assigned",0,0
2020-03-22,"Regina",1,18
2020-03-22,"Saskatoon",4,25
2020-03-22,"South Central",0,3
2020-03-22,"South East",0,1
2020-03-22,"South West",0,0
2020-03-23,"Central East",0,5
2020-03-23,"Central West",0,2
2020-03-23,"Far North Central",0,0
2020-03-23,"Far North East",0,3
2020-03-23,"Far North West",0,0
2020-03-23,"North Central",0,7
2020-03-23,"North East",0,0
2020-03-23,"North West",0,1
2020-03-23,"Not Assigned",0,0
2020-03-23,"Regina",2,20
2020-03-23,"Saskatoon",4,29
2020-03-23,"South Central",0,3
2020-03-23,"South East",0,1
2020-03-23,"South West",0,0
2020-03-24,"Central East",2,7
2020-03-24,"Central West",0,2
2020-03-24,"Far North Central",0,0
2020-03-24,"Far North East",0,3
2020-03-24,"Far North West",0,0
2020-03-24,"North Central",0,7
2020-03-24,"North East",0,0
2020-03-24,"North West",0,1
2020-03-24,"Not Assigned",0,0
2020-03-24,"Regina",5,25
2020-03-24,"Saskatoon",7,36
2020-03-24,"South Central",0,3
2020-03-24,"South East",0,1
2020-03-24,"South West",0,0
2020-03-25,"Central East",0,7
2020-03-25,"Central West",0,2
2020-03-25,"Far North Central",0,0
2020-03-25,"Far North East",0,3
2020-03-25,"Far North West",0,0
2020-03-25,"North Central",4,11
2020-03-25,"North East",1,1
2020-03-25,"North West",0,1
2020-03-25,"Not Assigned",0,0
2020-03-25,"Regina",2,27
2020-03-25,"Saskatoon",1,37
2020-03-25,"South Central",0,3
2020-03-25,"South East",0,1
2020-03-25,"South West",0,0
2020-03-26,"Central East",1,8
2020-03-26,"Central West",0,2
2020-03-26,"Far North Central",0,0
2020-03-26,"Far North East",0,3
2020-03-26,"Far North West",0,0
2020-03-26,"North Central",3,14
2020-03-26,"North East",0,1
2020-03-26,"North West",0,1
2020-03-26,"Not Assigned",0,0
2020-03-26,"Regina",0,27
2020-03-26,"Saskatoon",4,41
2020-03-26,"South Central",0,3
2020-03-26,"South East",0,1
2020-03-26,"South West",1,1
2020-03-27,"Central East",1,9
2020-03-27,"Central West",2,4
2020-03-27,"Far North Central",0,0
2020-03-27,"Far North East",0,3
2020-03-27,"Far North West",0,0
2020-03-27,"North Central",13,27
2020-03-27,"North East",0,1
2020-03-27,"North West",0,1
2020-03-27,"Not Assigned",0,0
2020-03-27,"Regina",4,31
2020-03-27,"Saskatoon",10,51
