"date","region","cases","cumulative_cases"
2020-08-04,"Central East",0,28
2020-08-04,"Central West",0,158
2020-08-04,"Far North Central",0,0
2020-08-04,"Far North East",0,6
2020-08-04,"Far North West",0,346
2020-08-04,"North Central",1,63
2020-08-04,"North East",0,62
2020-08-04,"North West",1,96
2020-08-04,"Not Assigned",0,0
2020-08-04,"Regina",4,99
2020-08-04,"Saskatoon",2,216
2020-08-04,"South Central",0,134
2020-08-04,"South East",0,11
2020-08-04,"South West",1,149
2020-08-05,"Central East",0,28
2020-08-05,"Central West",1,159
2020-08-05,"Far North Central",0,0
2020-08-05,"Far North East",0,6
2020-08-05,"Far North West",0,346
2020-08-05,"North Central",0,63
2020-08-05,"North East",3,65
2020-08-05,"North West",0,98
2020-08-05,"Not Assigned",0,0
2020-08-05,"Regina",2,100
2020-08-05,"Saskatoon",2,217
2020-08-05,"South Central",0,134
2020-08-05,"South East",0,11
2020-08-05,"South West",0,149
2020-08-06,"Central East",0,28
2020-08-06,"Central West",0,159
2020-08-06,"Far North Central",0,0
2020-08-06,"Far North East",0,6
2020-08-06,"Far North West",0,346
2020-08-06,"North Central",0,63
2020-08-06,"North East",0,65
2020-08-06,"North West",0,98
2020-08-06,"Not Assigned",0,0
2020-08-06,"Regina",0,100
2020-08-06,"Saskatoon",1,218
2020-08-06,"South Central",9,143
2020-08-06,"South East",0,11
2020-08-06,"South West",1,150
2020-08-07,"Central East",2,30
2020-08-07,"Central West",0,159
2020-08-07,"Far North Central",0,0
2020-08-07,"Far North East",0,6
2020-08-07,"Far North West",0,346
2020-08-07,"North Central",0,63
2020-08-07,"North East",0,65
2020-08-07,"North West",1,99
2020-08-07,"Not Assigned",0,0
2020-08-07,"Regina",2,102
2020-08-07,"Saskatoon",3,221
2020-08-07,"South Central",12,154
2020-08-07,"South East",0,11
2020-08-07,"South West",3,153
2020-08-08,"Central East",0,30
2020-08-08,"Central West",0,159
2020-08-08,"Far North Central",0,0
2020-08-08,"Far North East",0,6
2020-08-08,"Far North West",0,346
2020-08-08,"North Central",3,66
2020-08-08,"North East",0,65
2020-08-08,"North West",0,99
2020-08-08,"Not Assigned",1,1
2020-08-08,"Regina",3,113
2020-08-08,"Saskatoon",11,224
2020-08-08,"South Central",5,159
2020-08-08,"South East",0,11
2020-08-08,"South West",1,154
2020-08-09,"Central East",0,30
2020-08-09,"Central West",1,160
2020-08-09,"Far North Central",0,0
2020-08-09,"Far North East",0,6
2020-08-09,"Far North West",0,346
2020-08-09,"North Central",0,66
2020-08-09,"North East",0,65
2020-08-09,"North West",1,100
2020-08-09,"Not Assigned",0,1
2020-08-09,"Regina",5,118
2020-08-09,"Saskatoon",1,224
2020-08-09,"South Central",3,162
2020-08-09,"South East",0,11
2020-08-09,"South West",3,156
2020-08-10,"Central East",0,30
2020-08-10,"Central West",0,160
2020-08-10,"Far North Central",0,0
2020-08-10,"Far North East",0,6
2020-08-10,"Far North West",0,346
2020-08-10,"North Central",0,66
2020-08-10,"North East",0,65
2020-08-10,"North West",0,100
2020-08-10,"Not Assigned",0,1
2020-08-10,"Regina",3,121
2020-08-10,"Saskatoon",1,225
2020-08-10,"South Central",1,163
2020-08-10,"South East",0,11
2020-08-10,"South West",0,156
2020-08-11,"Central East",0,30
2020-08-11,"Central West",0,160
2020-08-11,"Far North Central",0,0
2020-08-11,"Far North East",0,6
2020-08-11,"Far North West",0,346
2020-08-11,"North Central",0,66
2020-08-11,"North East",1,65
2020-08-11,"North West",1,101
2020-08-11,"Not Assigned",0,1
2020-08-11,"Regina",4,125
2020-08-11,"Saskatoon",17,242
2020-08-11,"South Central",3,166
2020-08-11,"South East",0,11
2020-08-11,"South West",4,160
2020-08-12,"Central East",0,30
2020-08-12,"Central West",0,160
2020-08-12,"Far North Central",0,0
2020-08-12,"Far North East",0,6
2020-08-12,"Far North West",0,346
2020-08-12,"North Central",1,67
2020-08-12,"North East",0,65
2020-08-12,"North West",0,101
2020-08-12,"Not Assigned",0,1
2020-08-12,"Regina",4,129
2020-08-12,"Saskatoon",0,242
2020-08-12,"South Central",0,166
2020-08-12,"South East",0,11
2020-08-12,"South West",0,160
2020-08-13,"Central East",0,30
2020-08-13,"Central West",0,160
2020-08-13,"Far North Central",0,0
2020-08-13,"Far North East",0,6
2020-08-13,"Far North West",0,346
2020-08-13,"North Central",0,67
2020-08-13,"North East",0,65
2020-08-13,"North West",0,101
2020-08-13,"Not Assigned",0,1
2020-08-13,"Regina",2,131
2020-08-13,"Saskatoon",3,245
2020-08-13,"South Central",4,170
2020-08-13,"South East",0,11
2020-08-13,"South West",18,178
2020-08-14,"Central East",0,30
2020-08-14,"Central West",0,160
2020-08-14,"Far North Central",0,0
2020-08-14,"Far North East",0,6
2020-08-14,"Far North West",0,346
2020-08-14,"North Central",1,68
2020-08-14,"North East",0,65
2020-08-14,"North West",0,101
2020-08-14,"Not Assigned",0,1
2020-08-14,"Regina",0,131
2020-08-14,"Saskatoon",0,245
2020-08-14,"South Central",6,176
2020-08-14,"South East",0,11
2020-08-14,"South West",23,201
2020-08-15,"Central East",0,30
2020-08-15,"Central West",6,160
2020-08-15,"Far North Central",0,0
2020-08-15,"Far North East",0,6
2020-08-15,"Far North West",0,346
2020-08-15,"North Central",0,68
2020-08-15,"North East",0,65
2020-08-15,"North West",17,118
2020-08-15,"Not Assigned",0,1
2020-08-15,"Regina",0,131
2020-08-15,"Saskatoon",2,247
2020-08-15,"South Central",0,182
2020-08-15,"South East",0,11
2020-08-15,"South West",0,201
2020-08-16,"Central East",3,33
2020-08-16,"Central West",1,161
2020-08-16,"Far North Central",0,0
2020-08-16,"Far North East",0,6
2020-08-16,"Far North West",0,346
2020-08-16,"North Central",0,68
2020-08-16,"North East",0,65
2020-08-16,"North West",1,119
2020-08-16,"Not Assigned",-1,0
2020-08-16,"Regina",0,131
2020-08-16,"Saskatoon",0,247
2020-08-16,"South Central",5,187
2020-08-16,"South East",0,11
2020-08-16,"South West",5,206
2020-08-17,"Central East",0,33
2020-08-17,"Central West",0,161
2020-08-17,"Far North Central",0,0
2020-08-17,"Far North East",0,6
2020-08-17,"Far North West",0,346
2020-08-17,"North Central",0,68
2020-08-17,"North East",0,65
2020-08-17,"North West",0,119
2020-08-17,"Not Assigned",0,0
2020-08-17,"Regina",0,131
2020-08-17,"Saskatoon",0,247
2020-08-17,"South Central",0,187
2020-08-17,"South East",0,11
2020-08-17,"South West",1,207
2020-08-18,"Central East",0,33
2020-08-18,"Central West",0,161
2020-08-18,"Far North Central",0,0
2020-08-18,"Far North East",0,6
2020-08-18,"Far North West",0,346
2020-08-18,"North Central",0,68
2020-08-18,"North East",0,65
2020-08-18,"North West",0,119
2020-08-18,"Not Assigned",0,0
2020-08-18,"Regina",0,131
2020-08-18,"Saskatoon",1,248
2020-08-18,"South Central",0,187
2020-08-18,"South East",0,11
2020-08-18,"South West",0,207
2020-08-19,"Central East",0,33
2020-08-19,"Central West",0,161
2020-08-19,"Far North Central",0,0
2020-08-19,"Far North East",0,6
2020-08-19,"Far North West",0,346
2020-08-19,"North Central",0,68
2020-08-19,"North East",0,65
2020-08-19,"North West",2,121
2020-08-19,"Not Assigned",0,0
2020-08-19,"Regina",0,131
2020-08-19,"Saskatoon",0,248
2020-08-19,"South Central",0,187
2020-08-19,"South East",0,11
2020-08-19,"South West",2,209
2020-08-20,"Central East",0,33
2020-08-20,"Central West",0,161
2020-08-20,"Far North Central",0,0
2020-08-20,"Far North East",0,6
2020-08-20,"Far North West",0,346
2020-08-20,"North Central",0,68
2020-08-20,"North East",0,65
2020-08-20,"North West",2,121
2020-08-20,"Not Assigned",0,0
2020-08-20,"Regina",0,131
2020-08-20,"Saskatoon",1,249
2020-08-20,"South Central",3,190
2020-08-20,"South East",0,11
2020-08-20,"South West",0,209
2020-08-21,"Central East",0,33
2020-08-21,"Central West",0,161
2020-08-21,"Far North Central",0,0
2020-08-21,"Far North East",0,6
2020-08-21,"Far North West",0,346
2020-08-21,"North Central",0,68
2020-08-21,"North East",1,66
2020-08-21,"North West",2,123
2020-08-21,"Not Assigned",0,0
2020-08-21,"Regina",0,131
2020-08-21,"Saskatoon",1,250
2020-08-21,"South Central",0,189
2020-08-21,"South East",0,11
2020-08-21,"South West",2,211
2020-08-22,"Central East",0,33
2020-08-22,"Central West",0,161
2020-08-22,"Far North Central",0,0
2020-08-22,"Far North East",0,6
2020-08-22,"Far North West",0,346
2020-08-22,"North Central",0,68
2020-08-22,"North East",0,66
2020-08-22,"North West",0,123
2020-08-22,"Not Assigned",0,0
2020-08-22,"Regina",0,131
2020-08-22,"Saskatoon",1,251
2020-08-22,"South Central",0,189
2020-08-22,"South East",0,11
2020-08-22,"South West",1,212
2020-08-23,"Central East",0,33
2020-08-23,"Central West",0,161
2020-08-23,"Far North Central",0,0
2020-08-23,"Far North East",0,6
2020-08-23,"Far North West",0,346
2020-08-23,"North Central",1,69
2020-08-23,"North East",0,66
2020-08-23,"North West",0,123
2020-08-23,"Not Assigned",0,0
2020-08-23,"Regina",1,132
2020-08-23,"Saskatoon",0,251
2020-08-23,"South Central",0,189
2020-08-23,"South East",0,11
2020-08-23,"South West",1,213
2020-08-24,"Central East",0,33
2020-08-24,"Central West",0,161
2020-08-24,"Far North Central",0,0
2020-08-24,"Far North East",0,6
2020-08-24,"Far North West",0,346
2020-08-24,"North Central",1,68
2020-08-24,"North East",0,66
2020-08-24,"North West",3,126
2020-08-24,"Not Assigned",0,0
2020-08-24,"Regina",0,132
